"data__type","data__subType","data__id","data__self__href","data__self__methods__-","latitude","longitude","data__name","data__category","data__rank","data__tags__001","data__tags__002","data__tags__003","data__tags__004","data__tags__005","data__tags__006","data__tags__007","data__tags__008","data__tags__009","data__tags__010","data__tags__011","data__tags__012","data__tags__013","data__tags__014","data__tags__015","data__tags__016","data__tags__017","meta__count","meta__links__self","meta__links__next","meta__links__last","meta__links__first","meta__links__up"
"location","POINT_OF_INTEREST","AA8E41776E","https://test.api.amadeus.com/v1/reference-data/locations/pois/AA8E41776E","GET","48.852966","2.349902","Cathédrale Notre-Dame de Paris","SIGHTS","5","church","sightseeing","restaurant","tourguide","sights","temple","landmark","historicplace","historic","attraction","activities","professionalservices","sports","bike","rental","commercialplace","outdoorplace","1587","https://test.api.amadeus.com/v1/reference-data/locations/pois/by-square?north=48.91&west=2.25&south=48.80&east= 2.46","https://test.api.amadeus.com/v1/reference-data/locations/pois/by-square?north=48.91&west=2.25&south=48.80&east= 2.46&page[offset]=10&page[limit]=10","https://test.api.amadeus.com/v1/reference-data/locations/pois/by-square?north=48.91&west=2.25&south=48.80&east= 2.46&page[offset]=1580&page[limit]=10","https://test.api.amadeus.com/v1/reference-data/locations/pois/by-square?north=48.91&west=2.25&south=48.80&east= 2.46&page[offset]=0&page[limit]=10","https://test.api.amadeus.com/v1/reference-data/locations/pois/by-square?north=48.91&west=2.25&south=48.80&east= 2.46"
"location","POINT_OF_INTEREST","13D98F7D12","https://test.api.amadeus.com/v1/reference-data/locations/pois/13D98F7D12","GET","48.84681","2.337546","Jardin du Luxembourg","SIGHTS","5","sightseeing","restaurant","tourguide","sights","park","landmark","historicplace","historic","garden","attraction","activities","hiking","beauty&spas","theater","commercialplace","nature","","","","","","",""
"location","POINT_OF_INTEREST","EC7AE15DF5","https://test.api.amadeus.com/v1/reference-data/locations/pois/EC7AE15DF5","GET","48.860825","2.352633","Centre Pompidou","SIGHTS","5","museum","sightseeing","restaurant","artgallerie","tourguide","sights","transport","activities","attraction","shopping","square","parking","professionalservices","bus","theater","events","commercialplace","","","","","",""
"location","POINT_OF_INTEREST","521DE91E65","https://test.api.amadeus.com/v1/reference-data/locations/pois/521DE91E65","GET","48.88672","2.343002","Basilique du Sacré-Cœur de Montmartre","SIGHTS","5","church","sightseeing","sights","temple","landmark","tourguide","restaurant","attraction","commercialplace","activities","professionalservices","","","","","","","","","","","",""
"location","POINT_OF_INTEREST","7CBD79F4BD","https://test.api.amadeus.com/v1/reference-data/locations/pois/7CBD79F4BD","GET","48.864246","2.324892","Jardin des Tuileries","SIGHTS","5","restaurant","landmark","sightseeing","garden","park","tourguide","sights","attraction","nature","commercialplace","professionalservices","hiking","beauty&spas","events","activities","","","","","","","",""
"location","POINT_OF_INTEREST","49A0A389A7","https://test.api.amadeus.com/v1/reference-data/locations/pois/49A0A389A7","GET","48.871944","2.331666","Opéra National de Paris - Palais Garnier","RESTAURANT","5","restaurant","events","attraction","activities","operahouse","sightseeing","commercialplace","theater","sights","schools","tourguide","landmark","musicvenue","hiking","bar","publicplace","","","","","","",""
"location","POINT_OF_INTEREST","E9C13A1913","https://test.api.amadeus.com/v1/reference-data/locations/pois/E9C13A1913","GET","48.865093","2.328464","Angelina","RESTAURANT","5","restaurant","tea","sightseeing","tourguide","shopping","attraction","activities","bakery","commercialplace","transport","health&medical","","","","","","","","","","","",""
"location","POINT_OF_INTEREST","31CEFDF0ED","https://test.api.amadeus.com/v1/reference-data/locations/pois/31CEFDF0ED","GET","48.87301","2.33269","Galeries Lafayette Haussmann","RESTAURANT","5","restaurant","sightseeing","shopping","tourguide","mall","clothing","fashion","attraction","activities","parking","professionalservices","taxi","liquor","","","","","","","","","",""
"location","POINT_OF_INTEREST","9DBE48CBDA","https://test.api.amadeus.com/v1/reference-data/locations/pois/9DBE48CBDA","GET","48.870876","2.331753","Café de la Paix","RESTAURANT","5","restaurant","sightseeing","shopping","commercialplace","","","","","","","","","","","","","","","","","","",""
"location","POINT_OF_INTEREST","33EA4449E4","https://test.api.amadeus.com/v1/reference-data/locations/pois/33EA4449E4","GET","48.86621","2.33801","Le Grand Véfour","RESTAURANT","5","restaurant","sightseeing","commercialplace","professionalservices","events","activities","","","","","","","","","","","","","","","","",""

"ChainCode","IataCode","DupeId","Name","Id","Latitude","Longitude","CountryCode","Distance","Unit"
"ES","BOS","700066550","EMBASSY STES BOSTON LOGAN ARPT","ESBOS207","42.37048","-71.03187","US","1.29","KM"
"","","","Cathédrale Notre-Dame de Paris","AA8E41776E","48.852966","2.349902","FR","","KM"
"","","","Jardin du Luxembourg","13D98F7D12","48.84681","2.337546","FR","","KM"
"","","","Centre Pompidou","EC7AE15DF5","48.860825","2.352633","FR","","KM"
"","","","Basilique du Sacré-Cœur de Montmartre","521DE91E65","48.88672","2.343002","FR","","KM"
"","","","Jardin des Tuileries","7CBD79F4BD","48.864246","2.324892","FR","","KM"